"shop_id","type","title","avg_basket","total_ordered","num_orders","Latitude","Longitude","first_order_date"
2,Informel,SANWI,4617.0,83100.0,18,"5.341259",-4.003062,"2024-06-03"
3,Semi-Formel,Délices,6700.0,13400.0,2,"5.3410293",-4.0029509,"2024-06-08"
4,Semi-Formel,La Vie Zoé,8017.0,184401.0,23,"5.3405001",-4.0031504,"2024-06-28"
8,Semi-Formel,Univers des Saveurs,7479.0,149575.0,20,"5.3363788",-3.9998361,"2024-06-07"
9,Informel,Chez Clavery,8733.0,26200.0,3,"5.3405692",-4.0016986,"2024-09-19"
10,Semi-Formel,Renaissance,13845.0,276900.0,20,"5.3408894",-4.0031839,"2024-05-20"
11,Semi-Formel,Astou,19836.0,436400.0,22,"5.3398467",-4.0006544,"2024-05-20"
12,Semi-Formel,Agap,10869.0,369540.0,34,"5.339585",-4.0009216,"2024-05-20"
13,Formel,Four de Cocody,4967.0,14900.0,3,"5.3393151",-3.998751,"2024-07-24"
14,Semi-Formel,No Name Cafe,17959.0,628575.0,35,"5.3468497",-3.997260,"2024-05-27"
16,Semi-Formel,Safal,11806.0,590275.0,50,"5.336328",-3.9987705,"2024-05-22"
17,Semi-Formel,Parasolier,15233.0,715950.0,47,"5.3338932",-4.0005285,"2024-05-31"
18,Semi-Formel,Chez Mme Kambiré,9000.0,9000.0,1,"5.3367905",-4.0007884,"2024-09-13"
19,Semi-Formel,Aïda,9567.0,267870.0,28,"5.3344466",-3.9987736,"2024-05-21"
20,Informel,Dibiterie,19919.0,79675.0,4,"5.3214943",-4.0027192,"2024-06-13"
21,Informel,Maman Jo,11370.0,466180.0,41,"5.3222376",-4.0027924,"2024-05-24"
22,Informel,Authentic,6412.0,173120.0,27,"5.3221105",-4.0025124,"2024-05-31"
23,Informel,Sticker,8491.0,76420.0,9,"5.3217207",-4.0027514,"2024-05-25"
26,Informel,Ferme Monatin ,15472.0,742680.0,48,"5.321834",-4.0026823,"2024-05-20"
27,Informel,Chez Marcelle,10690.0,555875.0,52,"5.3223548",-4.0028083,"2024-05-21"
28,Semi-Formel,Mondimoi Group,13750.0,82500.0,6,"5.3337004",-4.0026747,"2024-06-07"
29,Semi-Formel, Port Royal,14038.0,280750.0,20,"5.3337004",-4.0026747,"2024-05-23"
30,Semi-Formel,Chez Diallo,6210.0,304275.0,49,"5.3390719",-4.0051864,"2024-06-06"
31,Informel,Ouaga 2000,4250.0,4250.0,1,"5.3217221",-4.0026939,"2024-05-29"
32,Informel,Chez Emi,9750.0,19500.0,2,"5.3220772",-4.0025922,"2024-06-25"
33,Informel,Tata Nina,2063.0,66025.0,32,"5.3216327",-4.0028087,"2024-05-20"
35,Informel,Délices de Martine,15250.0,61000.0,4,"5.3377165",-3.9960398,"2024-08-29"
37,Informel,Chez Eliza,3608.0,21650.0,6,"5.3411345",-4.0046648,"2024-08-15"
38,Semi-Formel,Christ P,19096.0,1317650.0,69,"5.3218048",-4.0026892,"2024-05-22"
41,Semi-Formel,Pacific Asia,14600.0,43800.0,3,"5.3450847",-3.998276,"2024-05-22"
42,Semi-Formel,Fabio,6898.0,413850.0,60,"5.3411345",-4.0046648,"2024-05-21"
43,Informel,Divers,7820.0,5723946.0,732,"5.3329082",-4.010577,"2024-05-20"
46,Semi-Formel,Kelkepart,15894.0,254297.5,16,"5.3410513",-4.0030831,"2024-05-24"
49,Informel,Chez Melissa,7339.0,278895.0,38,"5.3222845",-4.0027891,"2024-05-23"
51,Informel,Chez Marie jeanne ,10049.0,190925.0,19,"5.3218655",-4.0026592,"2024-05-23"
52,Semi-Formel,Ô Resto,6850.0,41100.0,6,"5.3341783",-3.9992199,"2024-06-21"
53,Semi-Formel,Le Singulier,22652.0,543650.0,24,"5.339756",-4.0047812,"2024-06-06"
54,Informel,Mémé Victoire,13300.0,53200.0,4,"5.3414805",-4.0038109,"2024-06-08"
55,Informel,Alasco Blockhauss,7714.0,324000.0,42,"5.3227515",-4.0040524,"2024-05-21"
56,Informel,Silver Food,7361.0,139850.0,19,"5.321857",-4.0025918,"2024-05-20"
60,Informel,Ferme Lagunaire,19243.0,1828045.0,95,"5.3212767",-4.002855,"2024-05-20"
61,Semi-Formel,Chez Zeinab,10494.0,367298.0,35,"5.337162",-4.0018337,"2024-05-30"
63,Semi-Formel,Speedy Burger,13794.0,455200.0,33,"5.3399526",-4.0025204,"2024-07-25"
69,Formel,Mum's,7421.0,215210.0,29,"5.327668",-4.0011865,"2024-05-21"
70,Semi-Formel,Saveurs d'Ici,7947.0,397350.0,50,"5.322079",-4.0028095,"2024-05-21"
71,Informel,Bruno,18047.0,613610.0,34,"5.3216516",-4.002774,"2024-05-21"
74,Informel,Pyken,11918.0,297940.0,25,"5.3387788",-3.9953413,"2024-05-21"
75,Informel,Chez Mme Vanié,37737.0,1320810.0,35,"5.3382931",-3.9959178,"2024-05-22"
78,Semi-Formel,Under The Tree,113450.0,1928652.0,17,"5.3395761",-3.9772684,"2024-05-23"
80,Semi-Formel,Espace Poya,6700.0,26800.0,4,"5.3474446",-3.9973765,"2024-06-04"
81,Semi-Formel,Amitié,5682.0,198887.5,35,"5.3215842",-4.002696,"2024-05-20"
82,Semi-Formel,La Marine,15467.0,139200.0,9,"5.3219165",-4.0045535,"2024-05-23"
85,Semi-Formel,Les Gazas,5212.0,72975.0,14,"5.3219115",-4.0016238,"2024-05-20"
