"restaurantID","name","type","total_ordered","num_orders","longitude","latitude","first_order_date"
1,KAOKA,Semi-Formel,99361.00,15,-4.0031956,5.3404300,"2023-10-02"
2,SANWI,Informel,268840.00,62,-4.0030620,5.3412590,"2023-10-02"
3,Délices,Semi-Formel,791805.00,48,-4.0029509,5.3410293,"2023-10-02"
4,La Vie Zoé,Semi-Formel,284965.00,32,-4.0031504,5.3405001,"2023-10-02"
5,Eto'o Food,Semi-Formel,477090.00,19,-4.0030203,5.3399373,"2023-10-02"
6,Pizza Star,Semi-Formel,3669341.00,154,-4.0028087,5.3397474,"2023-10-02"
7,Chez Rach,Informel,100370.00,13,-4.0016775,5.3405586,"2023-10-02"
8,Univers des Saveurs,Semi-Formel,493840.00,54,-3.9998361,5.3363788,"2023-10-02"
9,Chez Clavery,Informel,72260.00,12,-4.0016986,5.3405692,"2023-10-02"
10,Renaissance,Semi-Formel,549380.00,66,-4.0031839,5.3408894,"2023-10-02"
11,Astou,Semi-Formel,4114859.00,158,-4.0006544,5.3398467,"2023-10-02"
12,Agap,Semi-Formel,1598975.00,80,-4.0009216,5.3395850,"2023-10-02"
13,Four de Cocody,Formel,132914.00,35,-3.9987510,5.3393151,"2023-10-02"
14,No Name Cafe,Semi-Formel,880495.00,42,-3.9973782,5.3469459,"2023-10-02"
15,Canaan,Semi-Formel,36500.00,4,-3.9983131,5.3491049,"2023-10-02"
16,Safal,Semi-Formel,4519765.00,182,-3.9987705,5.3363280,"2023-10-02"
17,Parasolier,Semi-Formel,2038315.00,99,-4.0005285,5.3338932,"2023-10-02"
18,Chez Mme Kambiré,Semi-Formel,269200.00,13,-4.0007884,5.3367905,"2023-10-02"
19,Aïda,Semi-Formel,666095.00,42,-3.9987736,5.3344466,"2023-10-02"
20,Dibiterie,Informel,1874231.00,125,-4.0027192,5.3214943,"2023-10-02"
21,Maman Jo,Informel,1169695.00,106,-4.0027924,5.3222376,"2023-10-02"
22,Authentic,Informel,126200.00,12,-4.0025124,5.3221105,"2023-10-02"
23,Sticker,Informel,934760.00,130,-4.0027514,5.3217207,"2023-10-02"
24,Abidjan Lagune,Informel,40800.00,4,-4.0028575,5.3220436,"2023-10-02"
26,Ferme Monatin ,Informel,1689145.00,88,-4.0026823,5.3218340,"2023-10-02"
27,Chez Marcelle,Informel,602770.00,78,-4.0028083,5.3223548,"2023-10-02"
